,target,data,seq_len
0,1,brings irresistible blend warmth humor consistent embracing humanity face life 's harshness,12
1,0,skirmishes power waged among victims predators settle undistinguished rhythm artificial suspense,11
2,0,post september 11 sum fears seems tacky reprehensible manipulating collective fear without bestowing subject intelligence sincerity unequivocally deserves,18
3,1,unique stubborn charismatic want better successful,6
4,1,lightweight filmmaking sure 's pleasant enough oozing attractive men,9
5,1,secretary manages neat trick bundling flowers perversity comedy romance strangely tempting bouquet movie,13
6,1,wonderfully fresh moments smooth moral stiffness human kindness hopefulness,9
7,0,man leaving screening said film better saving private ryan may meant internet short saving ryan 's privates windtalkers n't beat one either,22
8,1,charming witty 's also somewhat clumsy,6
9,0,russell lacks visual panache comic touch perhaps budget sommers 's title bout features,13
10,1,'s hoot half great way american people see candidate like 's giving 15 cent stump speech,16
11,1,harrowing journey combat hell vividly captures chaotic insanity personal tragedies abundant human hatred spews forth unchecked,16
12,0,put somewhere sling blade south heaven west hell pantheon billy bob 's body work,14
13,0,n't add much,3
14,1,modest masterpiece,2
15,1,far perfect heart right place innocent well meaning,8
16,1,d espite familiar subject matter ice age consistently amusing engrossing,10
17,1,almost every scene film gem could stand alone perfectly realized observation mood behavior intent,14
18,1,adaptation intricately constructed strange way nails orlean 's themes without true adaptation book,13
19,0,insufferably naive,2
20,1,wife actress works well leads companionable couple,7
21,1,'s yet another cool crime movie actually manages bring something new mix,12
22,1,'s setup easy borders facile keeping film cheap shot mediocrity crack cast,12
23,1,'ve seen one form another director hoffman great help kevin kline makes us care latest reincarnation world 's greatest teacher,20
24,1,tasty slice droll whimsy,4
25,1,without heavy handedness dong provides perspective intelligent grasp human foibles contradictions,11
26,0,dreary movie,2
27,1,message reflections intentional art grows vacuum many artists exist one,10
28,1,haneke challenges us confront reality sexual aberration,7
29,0,movie appears running hypertime reverse truly funny bits get apart,10
30,1,goodness queen latifah lot offer seemed problem flaunting natural gifts must strong back,13
31,0,hollow joke told cinematic gymnast much fun embellishing misanthropic tale actually engage,12
32,1,'s pleasure see seinfeld griping biz buddies chris rock garry shandling colin quinn,13
33,0,whole stretches film may incomprehensible moviegoers already clad basic black,10
34,1,sets romantic comedy apart hollywood romantic comedies low key way tackling seems like done to death material,17
35,1,n't narrative film n't know 's possible make narrative film september 11th though 'm sure try 's close anyone dared come,21
36,0,features nonsensical laughable plotting wooden performances ineptly directed action sequences worst dialogue recent memory,14
37,0,watching rather like overlong visit large group relatives relatives swap one mundane story another begin wonder ever going depart,19
38,1,performances four main actresses bring characters life little melodramatic enough hope keep engaged,13
39,1,pro fat farce overcomes much excessive moral baggage thanks two appealing lead performances,13
40,1,well written directed brutal honesty respect audience,7
41,1,true delight,2
42,0,like deli sandwich lots ham lots cheese sickly sweet coating disguise excrescence consumption second half,15
43,0,like parade predecessors halloween gory slash fest ca n't escape past n't want,13
44,0,plodding teen remake 's mechanical smell grease plot twists,9
45,0,nights feels like quickie tv special feature film 's even tv special 'd bother watching past second commercial break,19
46,1,film 's plot may shallow 've never seen deep like see harrowing surf shots,14
47,0,could feel screenwriter every moment 'tap tap tap tap tapping away ' screenplay,13
48,0,kids audience preview screening seemed bored cheering pratfalls little else parents wise folks read books,15
49,0,serry wants blend politics drama admirable ambition 's bad helping hand uses stir ingredients also heavy one,17
50,0,definitely crowd pleaser roman colosseum,5
51,0,show mugging,2
52,0,disreputable doings exquisite trappings dampened lackluster script substandard performances,9
53,0,'s trifle movie laughs surrounding unremarkable soft center,8
54,1,funny way makes ache sadness way chekhov funny profound without ever self important warm without ever succumbing sentimentality,18
55,0,everybody loves david goliath story one told almost entirely david 's point view,13
56,1,hayek stunning frida star making project,6
57,0,subject illusion versus reality n't reality seem least passably real,10
58,1,'s one thing read rail ongoing unprecedented construction project going heads 's quite another feel physically caught process,18
59,1,broomfield rather unique approach documentary thinks film much document subject,10
60,1,vampire epic succeeds spooky action packed trash highest order,9
